pH,Electrical_Conductivity,Organic_Carbon,Available_Nitrogen,Available_Phosphorus,Available_Potassium,Exchangeable_Calcium,Exchangeable_Magnesium,Available_Sulfur,Iron,Manganese,Zinc,Copper,Soil_Depth,Soil_Type,Fit_for_Betel_Vine
7.06,0.44,1.01,326,34,197,4.98,1.43,6,13.89,9.89,0.91,0.41,Subsurface,Loamy,Yes
7.93,0.4,0.63,340,22,266,4.71,1.58,14,23.5,3.88,0.91,0.35,Subsurface,Sandy,Yes
7.6,0.26,0.74,255,32,284,4.54,0.65,14,14.36,8.64,1.32,0.3,Surface,Sandy,No
7.4,0.65,0.96,390,17,210,1.63,2.49,16,22.24,6.9,1.89,0.88,Surface,Loamy,Yes
6.73,0.53,0.84,269,32,220,2.48,1.26,7,24.04,5.57,0.85,0.2,Surface,Mixed,No
6.73,0.88,1.02,349,18,213,2.81,0.91,16,11.7,7.86,1.99,0.7,Subsurface,Clayey,No
6.59,0.13,1.17,294,11,186,3.95,1.46,9,17.81,2.4,0.64,0.9,Surface,Sandy,Yes
7.8,0.68,0.58,330,29,184,3.77,1.13,13,18.33,8.05,1.91,0.33,Subsurface,Mixed,Yes
7.4,0.79,1.0,308,11,200,2.1,1.28,10,5.43,8.86,0.53,0.95,Surface,Mixed,Yes
7.56,0.78,0.66,301,17,185,4.08,1.63,9,13.76,4.24,0.74,0.97,Surface,Sandy,Yes
6.53,0.9,0.79,395,27,224,2.04,1.06,12,22.11,4.41,1.96,0.66,Subsurface,Loamy,Yes
7.95,0.76,0.52,274,33,299,3.1,1.83,19,23.93,2.82,0.9,0.73,Subsurface,Loamy,No
7.75,0.94,0.6,372,31,293,3.53,1.36,5,22.98,8.85,0.51,0.35,Subsurface,Sandy,Yes
6.82,0.4,0.72,378,16,214,4.55,0.67,11,24.46,8.46,1.83,0.99,Subsurface,Mixed,No
6.77,0.55,0.74,290,20,285,3.71,2.27,12,18.06,5.4,1.87,0.79,Subsurface,Sandy,Yes
6.78,0.11,1.13,351,38,266,4.84,1.45,17,9.66,5.02,1.62,0.61,Subsurface,Sandy,Yes
6.96,0.11,1.02,267,31,182,4.98,2.35,13,16.51,5.42,1.91,0.6,Surface,Mixed,No
7.29,0.32,1.18,378,39,212,3.28,1.26,18,13.42,5.36,0.9,0.69,Subsurface,Loamy,Yes
7.15,0.19,0.92,351,37,217,1.68,1.59,15,10.17,5.44,1.47,0.35,Surface,Mixed,Yes
6.94,0.33,0.67,320,34,266,1.6,2.25,13,20.46,3.17,1.61,0.68,Subsurface,Loamy,Yes
7.42,0.26,0.73,257,29,259,4.49,1.42,16,17.58,2.11,1.96,0.26,Surface,Mixed,No
6.71,0.13,0.72,322,10,268,3.25,1.77,17,20.8,8.1,1.85,0.68,Subsurface,Loamy,Yes
6.94,0.92,0.73,338,34,292,2.78,0.99,12,10.39,4.75,0.59,0.66,Surface,Sandy,No
7.05,0.11,0.97,276,25,195,2.5,0.98,14,23.08,5.93,1.01,0.49,Surface,Loamy,No
7.18,0.76,0.87,256,25,268,2.49,1.59,19,9.77,4.46,1.42,0.27,Surface,Clayey,No
7.68,0.24,0.77,281,38,285,1.75,1.73,7,17.04,5.05,1.78,0.64,Surface,Loamy,Yes
6.8,0.92,0.6,322,19,250,2.56,1.81,10,6.14,2.6,0.92,0.55,Surface,Clayey,Yes
7.27,0.9,0.52,348,33,187,3.76,2.04,9,15.82,4.96,0.51,0.45,Surface,Loamy,Yes
7.39,0.69,0.65,361,26,182,2.85,2.35,7,6.97,5.7,0.78,0.54,Subsurface,Clayey,Yes
6.57,0.71,0.58,393,38,248,4.82,0.98,6,11.64,8.66,1.14,0.25,Surface,Loamy,No
7.41,0.1,1.05,379,19,198,3.84,1.74,6,22.21,4.58,0.59,0.27,Subsurface,Sandy,Yes
